movie_title,release_year,censor,runtime,genre,imdb_rating,overview,meta_score,director,lead_actor,supporting_actor,votes,total_gross
"The Shawshank Redemption",1994,A,"142 min",Drama,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",80,"Frank Darabont","Tim Robbins","Morgan Freeman",2343110,28341469
"The Godfather",1972,A,"175 min","Crime, Drama",9.2,"An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.",100,"Francis Ford Coppola","Marlon Brando","Al Pacino",1620367,134966411
"The Dark Knight",2008,UA,"152 min","Action, Crime, Drama",9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",84,"Christopher Nolan","Christian Bale","Heath Ledger",2303232,534858444
"The Godfather: Part II",1974,A,"202 min","Crime, Drama",9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",90,"Francis Ford Coppola","Al Pacino","Robert De Niro",1129952,57300000
"12 Angry Men",1957,U,"96 min","Crime, Drama",9.0,"A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.",96,"Sidney Lumet","Henry Fonda","Lee J. Cobb",689845,4360000
"The Lord of the Rings: The Return of the King",2003,U,"201 min","Action, Adventure, Drama",8.9,"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",94,"Peter Jackson","Elijah Wood","Viggo Mortensen",1642758,377845905
"Pulp Fiction",1994,A,"154 min","Crime, Drama",8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",94,"Quentin Tarantino","John Travolta","Uma Thurman",1826188,107928762
"Schindler's List",1993,A,"195 min","Biography, Drama, History",8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",94,"Steven Spielberg","Liam Neeson","Ralph Fiennes",1213505,96898818
Inception,2010,UA,"148 min","Action, Adventure, Sci-Fi",8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.",74,"Christopher Nolan","Leonardo DiCaprio","Joseph Gordon-Levitt",2067042,292576195
"Fight Club",1999,A,"139 min",Drama,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",66,"David Fincher","Brad Pitt","Edward Norton",1854740,37030102
